hor_codigo;hor_descricao;hor_concentracao;hor_forma_farmaceutica;hor_volume;hor_un_fornecimento
BR0278283;ACETAZOLAMIDA;250 MG;COMPRIMIDO;;COMPRIMIDO
BR0268375-1;ACICLOVIR;5%;CREME ;5 G;BISNAGA
BR0268375-2;ACICLOVIR;5%;CREME ;10 G;BISNAGA
BR0268370;ACICLOVIR;200 MG;COMPRIMIDO;;COMPRIMIDO
BR0268374;ACICLOVIR;250 MG;PÓ PARA SOLUÇÃO INJETÁVEL;;FRASCO-AMPOLA
BR0267501;ÁCIDO ACETILSALICÍLICO ;500 MG;COMPRIMIDO;;COMPRIMIDO
BR0267502;ÁCIDO ACETILSALICÍLICO ;100 MG;COMPRIMIDO;;COMPRIMIDO
BR0278489;ÁCIDO FÓLICO;0,2 MG/ML;SOLUÇÃO ORAL ;30 ML;FRASCO
BR0267503;ÁCIDO FÓLICO;5 MG;COMPRIMIDO;;COMPRIMIDO
BR0268292;ÁCIDO FOLÍNICO (FOLINATO DE CÁLCIO);15 MG;COMPRIMIDO;;COMPRIMIDO
BR0395558;ÁCIDO SALICÍLICO;5%;POMADA;;BISNAGA
BR0267504-2;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;250 MG;COMPRIMIDO;;COMPRIMIDO
BR0267504-1;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;250 MG;CÁPSULA ;;CAPSULA
BR0308732;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;50 MG/ML;XAROPE ;100 ML;FRASCO
BR0267505;ÁCIDO VALPRÓICO (VALPROATO DE SÓDIO) ;500 MG;COMPRIMIDO;;COMPRIMIDO
BR0276839-1;ÁGUA DESTILADA;null null;SOLUÇÃO INJETÁVEL ;5 ML;AMPOLA
BR0276839-8;ÁGUA DESTILADA;null null;SOLUÇÃO INJETÁVEL ;100 ML;FRASCO
BR0276839-3;ÁGUA DESTILADA;null null;SOLUÇÃO INJETÁVEL ;500 ML;FRASCO
BR0276839-4;ÁGUA DESTILADA;null null;SOLUÇÃO INJETÁVEL ;10 ML;FRASCO
BR0267507-2;ALBENDAZOL;40 MG/ML;SUSPENSÃO ORAL ;20 ML;FRASCO
BR0267507-1;ALBENDAZOL;40 MG/ML;SUSPENSÃO ORAL ;10 ML;FRASCO
BR0267506;ALBENDAZOL;400 MG;COMPRIMIDO MASTIGÁVEL;;COMPRIMIDO
BR0395837;ALCATRÃO MINERAL;1%;POMADA;;BISNAGA
BR0269943-4;ÁLCOOL ETÍLICO;70%;GEL;5000 ML;FRASCO
BR0269943-3;ÁLCOOL ETÍLICO;70%;GEL;1000 ML;FRASCO
BR0269943-1;ÁLCOOL ETÍLICO;70%;GEL;500 ML;FRASCO
BR0269941;ÁLCOOL ETÍLICO;70%;SOLUÇÃO;1 L;FRASCO
BR0269943-2;ÁLCOOL ETÍLICO;70%;GEL;800 ML;FRASCO
BR0308721;ALENDRONATO DE SÓDIO ;10 MG;COMPRIMIDO;;COMPRIMIDO
BR0269462;ALENDRONATO DE SÓDIO ;70 MG;COMPRIMIDO;;COMPRIMIDO
BR0267508;ALOPURINOL;100 MG;COMPRIMIDO;;COMPRIMIDO
BR0267509;ALOPURINOL;300 MG;COMPRIMIDO;;COMPRIMIDO
BR0271710;AMIODARONA, CLORIDRATO;50 MG/ML;SOLUÇÃO INJETÁVEL ;3 ML;AMPOLA
BR0267510;AMIODARONA, CLORIDRATO;200 MG;COMPRIMIDO;;COMPRIMIDO
BR0276333;AMITRIPTILINA, CLORIDRATO;75 MG;COMPRIMIDO;;COMPRIMIDO
